ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsbonepile03.obj;-61.63777542114258;86.40419006347656;-155.84791564941406;1;4.289133936907774e-9;1.4720347607521944e-8;7.870923357522486e-10;1.3300000429153442;Set_$DefaultGlobal;190438
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsskull01.obj;-61.0377082824707;88.1178970336914;-155.8673858642578;1;0;0;0;1.3300000429153442;Set_$DefaultGlobal;190439
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsbonepile02.obj;-61.79616928100586;85.43310546875;-155.89288330078125;1;1.014151784772821e-8;-1.8382236532943352e-7;-3.669527615102197e-8;1.3300000429153442;Set_$DefaultGlobal;190437
..\..\..\khazmodan\wetlands\passivedoodads\dragonbones\dragonbonesbody.obj;-59.70163345336914;80.69048309326172;-155.40768432617188;1;-5.163970939747742e-8;-2.8485365533015283e-7;6.952432585194401e-8;0.19307933747768402;Set_$DefaultGlobal;203501
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsbone01.obj;-61.06644821166992;88.70852661132812;-155.8463897705078;0.9692308902740479;-8.170871979018557e-8;-2.7932421176046773e-7;-0.2461533546447754;1.3300000429153442;Set_$DefaultGlobal;190436
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsspine01.obj;-61.47981643676758;87.5700454711914;-155.8849639892578;1;7.812928082273629e-11;1.4300896467034363e-8;4.073707593477138e-9;1.3300000429153442;Set_$DefaultGlobal;190441
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsblastedcow.obj;-59.88246154785156;77.23133850097656;-155.53607177734375;1;-1.1652961262598183e-8;-3.38785568487765e-8;4.0436356485429314e-9;0.9925373792648315;Set_$DefaultGlobal;190434
..\..\..\generic\orc\passivedoodads\bones\wailingcavernshangingbones02.obj;-61.01578903198242;64.43858337402344;-156.2427520751953;1;0;0;0;1;Set_$DefaultGlobal;199115
..\..\..\generic\orc\passivedoodads\bones\wailingcavernshangingbones03.obj;-60.96926498413086;72.0231704711914;-156.2427520751953;1;-8.45312284525248e-15;-1.4389834745998087e-7;5.874371922232058e-8;1;Set_$DefaultGlobal;199116
..\..\..\generic\orc\passivedoodads\bones\wailingcavernshangingbones02.obj;-61.01578903198242;68.5851821899414;-156.2427520751953;1;0;0;0;1;Set_$DefaultGlobal;199115
..\..\..\generic\troll\passivedoodads\trollskullpile\trollskullpile.obj;-60.90104293823242;90.88216400146484;-155.8673858642578;1;0;0;0;1.3300000429153442;Set_$DefaultGlobal;200638
..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsbone01.obj;-60.97659683227539;89.15623474121094;-155.9389190673828;0.7256880402565002;-0.43039214611053467;-0.14972813427448273;0.5154812335968018;1.3300000429153442;Set_$DefaultGlobal;190436
..\..\..\generic\human\passivedoodads\dolls\ragdoll01.obj;-40.03765869140625;51.6953125;-144.04783630371094;1;0;0;0;1;Set_$DefaultGlobal;198178
..\..\..\generic\passivedoodads\lights\torch.obj;-40.389190673828125;58.41086196899414;-139.18853759765625;1;0;0;-1.2644053981603065e-7;0.9957587718963623;Set_$DefaultGlobal;199823
